file,sample,batch,ID
/data/rn6/quantitation/brainTotalRNA/RI/batch1/ensembl_v96/BXH12_1_brain_total_RNA_cDNA_GTCCGC.genes.results,BXH12_1_brain_total_RNA_cDNA_GTCCGC,batch1,BXH12_1
/data/rn6/quantitation/brainTotalRNA/RI/batch1/ensembl_v96/BXH12_2_brain_total_RNA_cDNA_CAGATC.genes.results,BXH12_2_brain_total_RNA_cDNA_CAGATC,batch1,BXH12_2
/data/rn6/quantitation/brainTotalRNA/RI/batch1/ensembl_v96/HXB13_1_brain_total_RNA_cDNA_ATGTCA.genes.results,HXB13_1_brain_total_RNA_cDNA_ATGTCA,batch1,HXB13_1
/data/rn6/quantitation/brainTotalRNA/RI/batch1/ensembl_v96/HXB13_2_brain_total_RNA_cDNA_GTGAAA.genes.results,HXB13_2_brain_total_RNA_cDNA_GTGAAA,batch1,HXB13_2
/data/rn6/quantitation/brainTotalRNA/RI/batch1/ensembl_v96/HXB17_1_brain_total_RNA_cDNA_CCGTCC.genes.results,HXB17_1_brain_total_RNA_cDNA_CCGTCC,batch1,HXB17_1
/data/rn6/quantitation/brainTotalRNA/RI/batch1/ensembl_v96/HXB17_2_brain_total_RNA_cDNA_ATGTCA.genes.results,HXB17_2_brain_total_RNA_cDNA_ATGTCA,batch1,HXB17_2
/data/rn6/quantitation/brainTotalRNA/RI/batch1/ensembl_v96/HXB2_1_brain_total_RNA_cDNA_GTCCGC.genes.results,HXB2_1_brain_total_RNA_cDNA_GTCCGC,batch1,HXB2_1
/data/rn6/quantitation/brainTotalRNA/RI/batch1/ensembl_v96/HXB2_2_brain_total_RNA_cDNA_CTTGTA.genes.results,HXB2_2_brain_total_RNA_cDNA_CTTGTA,batch1,HXB2_2
/data/rn6/quantitation/brainTotalRNA/RI/batch1/ensembl_v96/HXB25_1_brain_total_RNA_cDNA_AGTTCC.genes.results,HXB25_1_brain_total_RNA_cDNA_AGTTCC,batch1,HXB25_1
/data/rn6/quantitation/brainTotalRNA/RI/batch1/ensembl_v96/HXB25_2_brain_total_RNA_cDNA_AGTCAA.genes.results,HXB25_2_brain_total_RNA_cDNA_AGTCAA,batch1,HXB25_2
/data/rn6/quantitation/brainTotalRNA/RI/batch1/ensembl_v96/HXB27_1_brain_total_RNA_cDNA_CGATGT.genes.results,HXB27_1_brain_total_RNA_cDNA_CGATGT,batch1,HXB27_1
